ID,Latitude,Longitud,AreaKey,TotPop90,PctRural,PctEld,PctFB,PctPov,PctBlack,PctBach
1,34.88129,-83.40143,13241,11648,100,17.18,1.13,13.6,0.35,11.6
2,34.91864,-83.73908,13281,6754,100,22.96,1.36,14,0,11.4
3,34.78193,-84.74823,13213,26147,89,7.69,0.5,11.3,0.26,5.5
4,34.86415,-84.31928,13111,15992,100,17.3,0.58,17.2,0.03,7.8
5,34.90222,-85.13643,13047,42464,43.6,10.73,0.39,12,0.91,8.1
6,34.80497,-84.96616,13313,72462,70,9.48,2.55,11.1,4.06,12
7,34.83436,-83.99088,13291,11993,100,17.55,0.88,18.3,0.1,10.1
8,34.7309,-85.2963,13295,58340,44.8,12.8,0.42,12.8,3.73,8.4
9,34.85462,-85.50471,13083,13147,96.5,10.35,0.75,14.6,0.35,8
10,34.68824,-84.45786,13123,13368,100,12.91,0.45,16.6,0.26,8.6
11,34.63045,-83.52933,13137,27621,88.5,12.31,2.92,11.6,5.42,12
12,34.64537,-83.75252,13311,13006,100,13.81,1.18,12.5,2.59,13.6
13,34.5745,-84.00225,13187,14573,78.6,9.29,0.76,15.3,1.41,11.1
14,34.55581,-83.29396,13257,23257,64.5,14.88,1.09,17,11.81,13.1
15,34.50423,-84.87158,13129,35072,79.7,10.09,0.64,11.1,3.78,9.2
16,34.44001,-84.17119,13085,9429,100,8.89,0.59,12.8,0.29,8.6
17,34.47663,-85.34577,13055,22242,77.4,14.22,0.11,14.6,8.61,5.9
18,34.2633,-85.21503,13115,81251,36.1,13.84,1.09,13.6,13.56,13.7
19,34.46452,-84.46498,13227,14432,100,12.44,0.2,12.8,1.48,9
20,34.37329,-83.22767,13119,16650,87.2,14.59,0.44,16.5,9.89,9.5
21,34.31584,-83.82089,13139,95428,81.1,10.25,4.6,10.6,8.48,15.4
22,34.35335,-82.95916,13147,19712,73.8,15.08,0.32,14.2,20.41,9.1
23,34.3527,-83.50054,13011,10308,100,11.37,0.34,15.1,3.49,6.4
24,34.2384,-84.83918,13015,55911,75.2,9.66,0.82,10.7,9.21,9
25,34.24453,-84.4743,13057,90204,57.8,6.71,1.57,6.1,1.77,18.4
26,34.22378,-84.12672,13117,44083,93.7,8.38,1.17,6.8,0,15.6
27,34.13332,-83.56274,13157,30005,78,11.23,0.62,14.1,9.58,9
28,34.115,-82.83977,13105,18949,70,13.78,0.84,19.7,29.99,8
29,34.12847,-83.20978,13195,21050,100,10.98,0.81,15.7,8.32,9.7
31,33.7894,-84.46716,13121,648951,4.2,9.63,4.13,18.4,49.92,31.6
32,33.95895,-84.0251,13135,352910,13.6,4.51,5.05,4,5.11,29.6
33,33.99347,-83.71181,13013,29721,64.6,10.63,0.92,14.7,11.44,9.2
34,33.99916,-85.18202,13233,33815,66.5,13.72,0.95,16.3,14.3,6.8
35,33.92253,-84.86584,13223,41611,93.7,7.12,0.66,8.8,3.94,7.6
36,33.94176,-84.57701,13067,447745,5.8,6.08,4.12,5.6,9.84,33
37,33.88098,-83.08201,13221,9763,100,11.37,0.62,16.2,24.74,12.8
38,33.95197,-83.36602,13059,87594,17.6,8.04,4.47,27,26.23,37.5
39,33.78664,-82.74436,13317,10597,59.6,16.64,0.43,22.6,45.94,10.4
40,33.79269,-82.45213,13181,7442,100,14.27,0.26,17.8,38.19,8.2
41,33.77095,-84.22701,13089,545837,2.5,8.13,6.69,9.9,42.23,32.7
42,33.83733,-83.43728,13219,17618,95.2,8.67,0.98,7.9,7.37,28.4
43,33.78311,-83.73768,13297,38586,61.2,10.64,0.65,13.2,18.37,9.4
44,33.79101,-85.209,13143,21966,67.8,12.62,0.69,14.4,6.47,7.5
45,33.59285,-83.49307,13211,12883,73,12.69,0.83,15,34.74,11
46,33.58276,-85.07903,13045,71422,68.5,9.66,0.85,14.4,15.46,12
47,33.7003,-84.76729,13097,71120,26.7,6.68,1.34,6.6,7.63,12
48,33.65017,-84.02657,13247,54091,59.2,7.64,2.01,6.2,8.03,18.1
