id,Latitude,Longitude,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,target
0,37.88,-122.23,8.3252,41,6.984126984,1.023809524,322,2.555555556,4.526
1,37.86,-122.22,8.3014,21,6.238137083,0.971880492,2401,2.109841828,3.585
2,37.85,-122.24,7.2574,52,8.288135593,1.073446328,496,2.802259887,3.521
3,37.85,-122.25,5.6431,52,5.817351598,1.073059361,558,2.547945205,3.413
4,37.85,-122.25,3.8462,52,6.281853282,1.081081081,565,2.181467181,3.422
5,37.85,-122.25,4.0368,52,4.761658031,1.103626943,413,2.139896373,2.697
6,37.84,-122.25,3.6591,52,4.931906615,0.951361868,1094,2.128404669,2.992
7,37.84,-122.25,3.12,52,4.797527048,1.061823802,1157,1.788253478,2.414
8,37.84,-122.26,2.0804,42,4.294117647,1.117647059,1206,2.026890756,2.267
9,37.84,-122.25,3.6912,52,4.970588235,0.990196078,1551,2.172268908,2.611
10,37.85,-122.26,3.2031,52,5.47761194,1.07960199,910,2.263681592,2.815
11,37.85,-122.26,3.2705,52,4.772479564,1.024523161,1504,2.049046322,2.418
12,37.85,-122.26,3.075,52,5.322649573,1.012820513,1098,2.346153846,2.135
13,37.84,-122.26,2.6736,52,4,1.097701149,345,1.982758621,1.913
14,37.85,-122.26,1.9167,52,4.262903226,1.009677419,1212,1.95483871,1.592
15,37.85,-122.26,2.125,50,4.242424242,1.071969697,697,2.640151515,1.4
16,37.85,-122.27,2.775,52,5.939577039,1.048338369,793,2.395770393,1.525
17,37.85,-122.27,2.1202,52,4.052805281,0.9669967,648,2.138613861,1.555
18,37.84,-122.26,1.9911,50,5.343675418,1.085918854,990,2.362768496,1.587
19,37.84,-122.27,2.6033,52,5.465454545,1.083636364,690,2.509090909,1.629
20,37.85,-122.27,1.3578,40,4.524096386,1.108433735,409,2.463855422,1.475
21,37.85,-122.27,1.7135,42,4.478142077,1.00273224,929,2.538251366,1.598
22,37.84,-122.27,1.725,52,5.09623431,1.131799163,1015,2.123430962,1.139
23,37.84,-122.27,2.1806,52,5.193846154,1.036923077,853,2.624615385,0.997
24,37.84,-122.27,2.6,52,5.27014218,1.035545024,1006,2.383886256,1.326
25,37.85,-122.28,2.4038,41,4.495798319,1.033613445,317,2.663865546,1.075
26,37.85,-122.28,2.4597,49,4.728033473,1.020920502,607,2.539748954,0.938
27,37.85,-122.28,1.808,52,4.780856423,1.060453401,1102,2.77581864,1.055
28,37.84,-122.28,1.6424,50,4.401691332,1.040169133,1131,2.391120507,1.089
29,37.84,-122.28,1.6875,52,4.703225806,1.032258065,395,2.548387097,1.32
30,37.84,-122.28,1.9274,49,5.068783069,1.182539683,863,2.283068783,1.223
